seq	date	url	kind	resolution	state
3	2026-07-27	https://docs.cloud.google.com/spanner/docs/graph/overview	manual-override	'docs|frameworks' -> 'docs|adjacent|map'	hot
2	2026-07-27	https://github.com/DeusData/codebase-memory-mcp	tag-union	'memory' + 'codeintel|memory' -> 'memory|codeintel'	hot
10	2026-07-28	https://github.com/NVIDIA-AI-Blueprints	manual-override	'adjacent' -> 'learning|frameworks'	hot
4	2026-07-28	https://github.com/affaan-m/ECC	tag-union	'triage' + 'skills|harnesses' -> 'triage|skills|harnesses'	cold
6	2026-07-28	https://github.com/affaan-m/ECC	manual-override	'triage|skills|harnesses' -> 'skills|harnesses'	hot
5	2026-07-28	https://github.com/affaan-m/agentshield	tag-union	'triage' + 'security' -> 'triage|security'	cold
7	2026-07-28	https://github.com/affaan-m/agentshield	manual-override	'triage|security' -> 'security'	hot
1	2026-07-01	https://github.com/langchain-ai/deepagents	tag-union	'frameworks' + 'frameworks|harnesses|map' -> 'frameworks|harnesses|map'	hot
8	2026-07-28	https://pypi.org/project/nvidia-nat	manual-override	'adjacent' -> 'docs|frameworks'	hot
9	2026-07-28	https://www.nvidia.com/en-us/ai-data-science/foundation-models/nemotron	manual-override	'docs|adjacent' -> 'docs|models'	hot
